Date,HA,Total Tests,New Tests,BC_Phase1,BC_Phase2,BC_Phase3a,BC_Phase3b
2020-03-26,Fraser,13258,4981,1,0,0,0
2020-03-26,Interior,5015,2873,1,0,0,0
2020-03-26,Vancouver Island,4639,1997,1,0,0,0
2020-03-26,Northern,1246,576,1,0,0,0
2020-03-26,Vancouver Coastal,12170,743487,1,0,0,0
2020-04-02,Fraser,17013,3755,1,0,0,0
2020-04-02,Interior,6518,1503,1,0,0,0
2020-04-02,Vancouver Island,6129,1490,1,0,0,0
2020-04-02,Northern,1746,500,1,0,0,0
2020-04-02,Vancouver Coastal,15185,3015,1,0,0,0
2020-04-09,Fraser,19920,2907,1,0,0,0
2020-04-09,Interior,7684,1166,1,0,0,0
2020-04-09,Vancouver Island,7435,1306,1,0,0,0
2020-04-09,Northern,2145,399,1,0,0,0
2020-04-09,Vancouver Coastal,17046,1861,1,0,0,0
2020-04-16,Fraser,22849,2929,1,0,0,0
2020-04-16,Interior,8725,1041,1,0,0,0
2020-04-16,Vancouver Island,8621,1186,1,0,0,0
2020-04-16,Northern,2531,386,1,0,0,0
2020-04-16,Vancouver Coastal,19101,2055,1,0,0,0
2020-04-23,Fraser,26870,4021,1,0,0,0
2020-04-23,Interior,10211,1486,1,0,0,0
2020-04-23,Vancouver Island,10244,1623,1,0,0,0
2020-04-23,Northern,3040,509,1,0,0,0
2020-04-23,Vancouver Coastal,22234,3133,1,0,0,0
2020-04-30,Fraser,33534,6664,1,0,0,0
2020-04-30,Interior,12727,2516,1,0,0,0
2020-04-30,Vancouver Island,13118,2874,1,0,0,0
2020-04-30,Northern,3870,830,1,0,0,0
2020-04-30,Vancouver Coastal,26913,4679,1,0,0,0
2020-05-07,Fraser,39200,5666,1,0,0,0
2020-05-07,Interior,15206,2479,1,0,0,0
2020-05-07,Vancouver Island,15816,2698,1,0,0,0
2020-05-07,Northern,4648,778,1,0,0,0
2020-05-07,Vancouver Coastal,31230,4317,1,0,0,0
2020-05-14,Fraser,42686,3486,1,0,0,0
2020-05-14,Interior,17061,1855,1,0,0,0
2020-05-14,Vancouver Island,17754,1938,1,0,0,0
2020-05-14,Northern,5173,525,1,0,0,0
2020-05-14,Vancouver Coastal,34749,3519,1,0,0,0
2020-05-21,Fraser,47831,5145,0,1,0,0
2020-05-21,Interior,18686,1625,0,1,0,0
2020-05-21,Vancouver Island,19494,1740,0,1,0,0
2020-05-21,Northern,5720,547,0,1,0,0
2020-05-21,Vancouver Coastal,37852,3103,0,1,0,0
2020-05-28,Fraser,52336,4505,0,1,0,0
2020-05-28,Interior,20400,1714,0,1,0,0
2020-05-28,Vancouver Island,21397,1903,0,1,0,0
2020-05-28,Northern,6167,447,0,1,0,0
2020-05-28,Vancouver Coastal,41262,3410,0,1,0,0
2020-06-04,Fraser,56841,4505,0,1,0,0
2020-06-04,Interior,22031,1631,0,1,0,0
2020-06-04,Vancouver Island,23044,1647,0,1,0,0
2020-06-04,Northern,6690,523,0,1,0,0
2020-06-04,Vancouver Coastal,44581,3319,0,1,0,0
2020-06-11,Fraser,61216,4375,0,1,0,0
2020-06-11,Interior,23334,1303,0,1,0,0
2020-06-11,Vancouver Island,24668,1624,0,1,0,0
2020-06-11,Northern,7235,545,0,1,0,0
2020-06-11,Vancouver Coastal,48224,3643,0,1,0,0
2020-06-18,Fraser,65517,4301,0,1,0,0
2020-06-18,Interior,24812,1478,0,1,0,0
2020-06-18,Vancouver Island,26140,1472,0,1,0,0
2020-06-18,Northern,7690,455,0,1,0,0
2020-06-18,Vancouver Coastal,51994,3770,0,1,0,0
2020-06-25,Fraser,70304,4787,0,0,1,0
2020-06-25,Interior,26186,1374,0,0,1,0
2020-06-25,Vancouver Island,27751,1611,0,0,1,0
2020-06-25,Northern,8111,421,0,0,1,0
2020-06-25,Vancouver Coastal,56083,4089,0,0,1,0
2020-07-02,Fraser,74299,3995,0,0,1,0
2020-07-02,Interior,27728,1542,0,0,1,0
2020-07-02,Vancouver Island,29065,1314,0,0,1,0
2020-07-02,Northern,8500,389,0,0,1,0
2020-07-02,Vancouver Coastal,59775,3692,0,0,1,0
2020-07-09,Fraser,79439,5140,0,0,1,0
2020-07-09,Interior,29362,1634,0,0,1,0
2020-07-09,Vancouver Island,31118,2053,0,0,1,0
2020-07-09,Northern,8901,401,0,0,1,0
2020-07-09,Vancouver Coastal,64364,4589,0,0,1,0
2020-07-16,Fraser,85161,5722,0,0,1,0
2020-07-16,Interior,32135,2773,0,0,1,0
2020-07-16,Vancouver Island,33671,2553,0,0,1,0
2020-07-16,Northern,9423,522,0,0,1,0
2020-07-16,Vancouver Coastal,69727,5363,0,0,1,0
2020-07-23,Fraser,91170,6009,0,0,1,0
2020-07-23,Interior,35393,3258,0,0,1,0
2020-07-23,Vancouver Island,36029,2358,0,0,1,0
2020-07-23,Northern,10026,603,0,0,1,0
2020-07-23,Vancouver Coastal,74731,5004,0,0,1,0
2020-07-30,Fraser,97243,6073,0,0,1,0
2020-07-30,Interior,38196,2803,0,0,1,0
2020-07-30,Vancouver Island,39157,3128,0,0,1,0
2020-07-30,Northern,10784,758,0,0,1,0
2020-07-30,Vancouver Coastal,80177,5446,0,0,1,0
2020-08-06,Fraser,102876,5633,0,0,1,0
2020-08-06,Interior,40100,1904,0,0,1,0
2020-08-06,Vancouver Island,41293,2136,0,0,1,0
2020-08-06,Northern,11305,521,0,0,1,0
2020-08-06,Vancouver Coastal,85049,4872,0,0,1,0
2020-08-13,Fraser,110655,7779,0,0,1,0
2020-08-13,Interior,43261,3161,0,0,1,0
2020-08-13,Vancouver Island,43652,2359,0,0,1,0
2020-08-13,Northern,11952,647,0,0,1,0
2020-08-13,Vancouver Coastal,92005,6956,0,0,1,0
2020-08-20,Fraser,120157,9502,0,0,1,0
2020-08-20,Interior,46543,3282,0,0,1,0
2020-08-20,Vancouver Island,46592,2940,0,0,1,0
2020-08-20,Northern,12837,885,0,0,1,0
2020-08-20,Vancouver Coastal,100743,8738,0,0,1,0
2020-08-27,Fraser,130536,10379,0,0,1,0
2020-08-27,Interior,49828,3285,0,0,1,0
2020-08-27,Vancouver Island,49720,3128,0,0,1,0
2020-08-27,Northern,13691,854,0,0,1,0
2020-08-27,Vancouver Coastal,110774,10031,0,0,1,0
2020-09-03,Fraser,142316,11780,0,0,1,0
2020-09-03,Interior,53171,3343,0,0,1,0
2020-09-03,Vancouver Island,52939,3219,0,0,1,0
2020-09-03,Northern,15022,1331,0,0,1,0
2020-09-03,Vancouver Coastal,123993,13219,0,0,1,0
2020-09-10,Fraser,155152,12836,0,0,0,1
2020-09-10,Interior,56123,2952,0,0,0,1
2020-09-10,Vancouver Island,56346,3407,0,0,0,1
2020-09-10,Northern,16239,1217,0,0,0,1
2020-09-10,Vancouver Coastal,138042,14049,0,0,0,1
2020-09-17,Fraser,170729,15577,0,0,0,1
2020-09-17,Interior,58897,2774,0,0,0,1
2020-09-17,Vancouver Island,59992,3646,0,0,0,1
2020-09-17,Northern,17679,1440,0,0,0,1
2020-09-17,Vancouver Coastal,155053,17011,0,0,0,1
2020-09-24,Fraser,188212,17483,0,0,0,1
2020-09-24,Interior,64004,5107,0,0,0,1
2020-09-24,Vancouver Island,64032,4040,0,0,0,1
2020-09-24,Northern,19641,1962,0,0,0,1
2020-09-24,Vancouver Coastal,172434,17381,0,0,0,1
2020-10-01,Fraser,212086,23874,0,0,0,1
2020-10-01,Interior,70008,6004,0,0,0,1
2020-10-01,Vancouver Island,69904,5872,0,0,0,1
2020-10-01,Northern,22536,2895,0,0,0,1
2020-10-01,Vancouver Coastal,192483,20049,0,0,0,1
2020-10-08,Fraser,242333,30247,0,0,0,1
2020-10-08,Interior,76404,6396,0,0,0,1
2020-10-08,Vancouver Island,76901,6997,0,0,0,1
2020-10-08,Northern,24853,2317,0,0,0,1
2020-10-08,Vancouver Coastal,218118,25635,0,0,0,1
2020-10-15,Fraser,270047,27714,0,0,0,1
2020-10-15,Interior,82547,6143,0,0,0,1
2020-10-15,Vancouver Island,84547,7646,0,0,0,1
2020-10-15,Northern,26285,1432,0,0,0,1
2020-10-15,Vancouver Coastal,239666,21548,0,0,0,1
2020-10-23,Fraser,302738,32691,0,0,0,1
2020-10-23,Interior,88471,5924,0,0,0,1
2020-10-23,Vancouver Island,93077,8530,0,0,0,1
2020-10-23,Northern,28067,1782,0,0,0,1
2020-10-23,Vancouver Coastal,263680,24014,0,0,0,1
2020-10-30,Fraser,331313,28575,0,0,0,1
2020-10-30,Interior,93213,4742,0,0,0,1
2020-10-30,Vancouver Island,99103,6026,0,0,0,1
2020-10-30,Northern,29461,1394,0,0,0,1
2020-10-30,Vancouver Coastal,284014,20334,0,0,0,1
2020-11-06,Fraser,360262,28949,0,0,0,1
2020-11-06,Interior,98235,5022,0,0,0,1
2020-11-06,Vancouver Island,104463,5360,0,0,0,1
2020-11-06,Northern,30683,1222,0,0,0,1
2020-11-06,Vancouver Coastal,304769,20755,0,0,0,1
